gene_symbol,TCGA-A2-A25D-01A-12R-A16F-07,TCGA-BH-A201-01A-11R-A14M-07,TCGA-AC-A23C-01A-12R-A169-07,TCGA-AR-A5QP-01A-11R-A28M-07,TCGA-C8-A12P-01A-11R-A115-07,TCGA-BH-A0W3-01A-11R-A109-07,TCGA-AC-A8OQ-01A-11R-A41B-07,TCGA-BH-A0H6-01A-21R-A056-07,TCGA-D8-A27V-01A-12R-A17B-07,TCGA-D8-A27M-01A-11R-A16F-07,TCGA-E9-A5FK-01A-11R-A27Q-07,TCGA-C8-A1HE-01A-11R-A13Q-07,TCGA-BH-A203-01A-12R-A169-07,TCGA-A7-A26I-01A-11R-A169-07,TCGA-BH-A0HQ-01A-11R-A034-07,TCGA-AO-A0JF-01A-11R-A056-07,TCGA-C8-A26V-01A-11R-A16F-07,TCGA-A8-A07B-01A-11R-A00Z-07,TCGA-E2-A1IL-01A-11R-A14D-07,TCGA-A8-A07C-01A-11R-A034-07,TCGA-EW-A1PB-01A-11R-A144-07,TCGA-AR-A0TP-01A-11R-A084-07,TCGA-AN-A0XR-01A-11R-A109-07,TCGA-A8-A08X-01A-21R-A00Z-07,TCGA-BH-A0HX-01A-21R-A056-07,TCGA-OL-A66N-01A-12R-A31O-07,TCGA-C8-A27A-01A-11R-A169-07,TCGA-A8-A099-01A-11R-A00Z-07,TCGA-D8-A1X5-01A-11R-A14D-07,TCGA-LL-A73Y-01A-11R-A33J-07,TCGA-B6-A0WW-01A-11R-A109-07,TCGA-A7-A0DB-01C-02R-A277-07,TCGA-E2-A576-01A-11R-A31O-07,TCGA-E2-A15F-01A-11R-A115-07,TCGA-A7-A4SC-01A-12R-A266-07,TCGA-EW-A1J1-01A-11R-A13Q-07,TCGA-AR-A1AR-01A-31R-A137-07,TCGA-EW-A1P6-01A-11R-A144-07,TCGA-E9-A1ND-01A-11R-A144-07,TCGA-GM-A2DL-01A-11R-A18M-07,TCGA-AC-A2FM-11B-32R-A19W-07,TCGA-E9-A1RF-11A-32R-A157-07,TCGA-BH-A0DQ-11A-12R-A089-07,TCGA-BH-A204-11A-53R-A157-07,TCGA-BH-A0H7-11A-13R-A089-07,TCGA-BH-A0B7-11A-34R-A115-07,TCGA-BH-A203-11A-42R-A169-07,TCGA-BH-A18M-11A-33R-A12D-07,TCGA-BH-A1FJ-11B-42R-A13Q-07,TCGA-A7-A0DB-11A-33R-A089-07
ABCB4,120,118,208,107,126,75,58,136,269,256,52,107,66,164,86,162,144,60,122,115,85,20,87,110,123,210,549,90,95,157,55,154,98,67,76,244,115,76,68,162,48,181,76,181,117,46,79,49,131,62
KMT2E,3946,7447,9880,3856,3635,4973,1925,4316,13603,13036,1520,14261,2990,12440,5461,6073,9300,3291,5607,13680,4786,5338,2919,3824,3908,1750,9073,7219,4591,7311,3760,6123,2008,5610,4191,11168,13100,3238,4851,4503,2290,7783,11685,6499,4720,8299,10148,6685,14975,4045
RHBDD2,5689,6442,5390,5364,4627,6753,4007,7003,8256,7692,5638,9877,4943,3586,4289,4775,16257,2346,5735,5552,4804,4206,9492,2822,6025,13052,10162,10535,2351,4556,6444,351,7533,8177,6354,9628,8647,4036,8243,4425,8177,2987,5878,3569,6039,2688,2824,3220,5584,2142
SOX8,39,46,21,197,26,7,10354,25,327,4780,64,24,58,5,18,56,38,7,32,5653,7,9891,11,57,22,35,28,19,16,8553,11,2,38,30,26,14,29,26,18,19,226,30,434,65,1055,431,289,61,139,86
IBTK,2565,6366,10483,3572,2352,4788,1341,4982,12036,6308,1616,9670,3940,9444,2985,5949,12297,2312,3173,7033,1845,2851,3530,2013,4448,2270,9097,12163,11315,6274,3697,3305,2436,4450,3492,10604,9133,4427,2492,4590,2148,4769,6977,4357,3580,4780,5752,3867,10527,2514
ZNF195,1610,1868,2968,1133,1408,1169,1536,1287,2114,2115,795,2221,2355,2391,787,1371,3000,1178,1065,3165,1732,660,1307,532,871,856,3403,1455,768,2479,490,1313,1299,1512,675,2665,5538,780,1300,634,944,1106,2141,807,2023,2120,2265,1172,2970,638
MYCBP2,2638,6119,9132,2428,2010,2623,2787,4119,7664,13087,1896,5174,5414,16495,3416,5620,6492,1762,3129,9681,6326,4360,2359,2919,3464,858,8201,2891,2419,4995,2501,4114,578,4558,3006,5835,8166,2351,4006,1487,2372,22493,9347,14041,3836,6050,12509,6489,11329,8951
FBXL3,1538,5393,7104,3690,1157,2285,1185,7758,6729,3788,2090,8122,5646,4468,3804,5907,3552,1591,1870,4590,2527,3534,3614,1252,3634,1844,5204,2926,2062,4570,3119,1519,1228,3368,3085,4114,4542,2562,1904,2786,2914,5414,7248,4655,3130,4381,6472,3760,12397,3060
ITGAL,2811,501,1580,610,852,1320,2000,1277,1760,3813,4003,1412,1621,660,1187,958,1454,74,1090,1845,4312,68,1688,1265,671,903,413,784,1111,1591,487,86,776,978,774,2078,2342,2206,2835,395,757,495,1431,293,551,840,741,726,831,448
PDK2,1746,951,1184,1134,1275,1437,829,787,5589,687,534,2313,654,783,1310,1284,3388,1660,1357,897,1033,195,801,358,2068,713,2870,1458,790,1084,847,72,761,1738,1039,675,823,929,1089,534,1632,2471,1863,3081,2022,1289,2487,1785,1920,2200
